brand;packagetype;prijstype;KanaalType;Actie_Type;Date;amount;ID;clusters
DS;DIGI;BASE;korting;klantendienst;2019-03-31;6;0;klein
DS;DIGI;BASE;korting;klantendienst;2019-10-31;9;0;klein
DS;DIGI;BASE;korting;klantendienst;2019-12-31;10;0;klein
DS;DIGI;BASE;korting;klantendienst;2020-01-31;25;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-02-29;28;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-03-31;30;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-04-30;44;0;groot
DS;DIGI;BASE;korting;klantendienst;2020-05-31;44;0;groot
DS;DIGI;BASE;korting;klantendienst;2020-06-30;35;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-07-31;31;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-08-31;32;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-09-30;41;0;groot
DS;DIGI;BASE;korting;klantendienst;2020-10-31;26;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-11-30;32;0;middel
DS;DIGI;BASE;korting;klantendienst;2020-12-31;26;0;middel
DS;DIGI;BASE;korting;klantendienst;2021-01-31;30;0;middel
DS;DIGI;BASE;korting;klantendienst;2021-02-28;36;0;middel
DS;DIGI;BASE;korting;klantendienst;2021-03-31;55;0;groot
DS;DIGI;BASE;korting;klantendienst;2021-04-30;31;0;middel
DS;DIGI;BASE;korting;klantendienst;2021-05-31;30;0;middel
DS;DIGI;BASE;korting;klantendienst;2021-06-30;36;0;middel
DS;DIGI;BASE;korting;project;2018-06-30;7;1;klein
DS;DIGI;BASE;korting;project;2018-07-31;8;1;middel
DS;DIGI;BASE;korting;project;2018-08-31;9;1;groot
DS;DIGI;BASE;korting;project;2018-09-30;9;1;groot
DS;DIGI;BASE;korting;project;2018-10-31;8;1;middel
DS;DIGI;BASE;korting;project;2018-11-30;7;1;klein
DS;DIGI;BASE;korting;project;2018-12-31;6;1;klein
DS;DIGI;BASE;korting;project;2019-01-31;7;1;klein
DS;DIGI;BASE;vitrine;overig;2013-12-31;8;2;klein
DS;DIGI;BASE;vitrine;overig;2016-01-31;37;2;middel
DS;DIGI;BASE;vitrine;overig;2016-02-29;23;2;klein
DS;DIGI;BASE;vitrine;overig;2016-03-31;34;2;middel
DS;DIGI;BASE;vitrine;overig;2016-04-30;17;2;klein
DS;DIGI;BASE;vitrine;overig;2016-05-31;33;2;middel
DS;DIGI;BASE;vitrine;overig;2016-06-30;37;2;middel
DS;DIGI;BASE;vitrine;overig;2016-07-31;44;2;groot
DS;DIGI;BASE;vitrine;overig;2016-08-31;34;2;middel
DS;DIGI;BASE;vitrine;overig;2016-09-30;48;2;groot
DS;DIGI;BASE;vitrine;overig;2016-10-31;43;2;groot
DS;DIGI;BASE;vitrine;overig;2016-11-30;41;2;groot
DS;DIGI;BASE;vitrine;overig;2016-12-31;12;2;klein
DS;DIGI;BASE;vitrine;project;2014-01-31;59;3;groot
DS;DIGI;BASE;vitrine;project;2014-02-28;24;3;klein
DS;DIGI;BASE;vitrine;project;2014-03-31;15;3;klein
DS;DIGI;BASE;vitrine;project;2014-04-30;15;3;klein
DS;DIGI;BASE;vitrine;project;2014-05-31;49;3;groot
DS;DIGI;BASE;vitrine;project;2014-06-30;35;3;middel
DS;DIGI;BASE;vitrine;project;2014-07-31;39;3;groot
DS;DIGI;BASE;vitrine;project;2014-08-31;45;3;groot
DS;DIGI;BASE;vitrine;project;2014-09-30;31;3;middel
DS;DIGI;BASE;vitrine;project;2014-10-31;41;3;groot
