brand;packagetype;prijstype;Date;amount
DS;DIGI;BASE;2013-12-31;8
DS;DIGI;BASE;2014-01-31;59
DS;DIGI;BASE;2014-02-28;24
DS;DIGI;BASE;2014-03-31;15
DS;DIGI;BASE;2014-04-30;15
DS;DIGI;BASE;2014-05-31;49
DS;DIGI;BASE;2014-06-30;35
DS;DIGI;BASE;2014-07-31;39
DS;DIGI;BASE;2014-08-31;45
DS;DIGI;BASE;2014-09-30;31
DS;DIGI;BASE;2014-10-31;41
DS;DIGI;BASE;2014-11-30;33
DS;DIGI;BASE;2014-12-31;31
DS;DIGI;BASE;2015-01-31;50
DS;DIGI;BASE;2015-02-28;24
DS;DIGI;BASE;2015-03-31;41
DS;DIGI;BASE;2015-04-30;36
DS;DIGI;BASE;2015-05-31;22
DS;DIGI;BASE;2015-06-30;22
DS;DIGI;BASE;2015-07-31;33
DS;DIGI;BASE;2015-08-31;24
DS;DIGI;BASE;2015-09-30;47
DS;DIGI;BASE;2015-10-31;28
DS;DIGI;BASE;2015-11-30;29
DS;DIGI;BASE;2015-12-31;27
DS;DIGI;BASE;2016-01-31;71
DS;DIGI;BASE;2016-02-29;23
DS;DIGI;BASE;2016-03-31;34
DS;DIGI;BASE;2016-04-30;17
DS;DIGI;BASE;2016-05-31;33
DS;DIGI;BASE;2016-06-30;37
DS;DIGI;BASE;2016-07-31;44
DS;DIGI;BASE;2016-08-31;34
DS;DIGI;BASE;2016-09-30;48
DS;DIGI;BASE;2016-10-31;43
DS;DIGI;BASE;2016-11-30;41
DS;DIGI;BASE;2016-12-31;12
DS;DIGI;BASE;2017-03-31;31
DS;DIGI;BASE;2017-04-30;23
DS;DIGI;BASE;2017-05-31;23
DS;DIGI;BASE;2017-06-30;24
DS;DIGI;BASE;2017-07-31;19
DS;DIGI;BASE;2017-08-31;36
DS;DIGI;BASE;2017-09-30;32
DS;DIGI;BASE;2017-10-31;20
DS;DIGI;BASE;2017-11-30;28
DS;DIGI;BASE;2017-12-31;18
DS;DIGI;BASE;2018-01-31;39
DS;DIGI;BASE;2018-02-28;26
DS;DIGI;BASE;2018-03-31;26
DS;DIGI;BASE;2018-04-30;13
DS;DIGI;BASE;2018-05-31;22
DS;DIGI;BASE;2018-06-30;49
DS;DIGI;BASE;2018-07-31;38
DS;DIGI;BASE;2018-08-31;31
DS;DIGI;BASE;2018-09-30;41
DS;DIGI;BASE;2018-10-31;51
DS;DIGI;BASE;2018-11-30;41
DS;DIGI;BASE;2018-12-31;26
DS;DIGI;BASE;2019-01-31;43
DS;DIGI;BASE;2019-02-28;20
DS;DIGI;BASE;2019-03-31;42
DS;DIGI;BASE;2019-04-30;23
DS;DIGI;BASE;2019-05-31;15
DS;DIGI;BASE;2019-06-30;19
DS;DIGI;BASE;2019-07-31;20
DS;DIGI;BASE;2019-08-31;19
DS;DIGI;BASE;2019-09-30;17
DS;DIGI;BASE;2019-10-31;28
DS;DIGI;BASE;2019-11-30;20
DS;DIGI;BASE;2019-12-31;34
DS;DIGI;BASE;2020-01-31;50
DS;DIGI;BASE;2020-02-29;50
DS;DIGI;BASE;2020-03-31;64
DS;DIGI;BASE;2020-04-30;80
DS;DIGI;BASE;2020-05-31;66
DS;DIGI;BASE;2020-06-30;55
DS;DIGI;BASE;2020-07-31;59
DS;DIGI;BASE;2020-08-31;59
DS;DIGI;BASE;2020-09-30;61
DS;DIGI;BASE;2020-10-31;58
DS;DIGI;BASE;2020-11-30;55
DS;DIGI;BASE;2020-12-31;41
DS;DIGI;BASE;2021-01-31;37
DS;DIGI;BASE;2021-02-28;59
DS;DIGI;BASE;2021-03-31;83
DS;DIGI;BASE;2021-04-30;39
DS;DIGI;BASE;2021-05-31;41
DS;DIGI;BASE;2021-06-30;46
DS;DIGI;PROMO;2013-05-31;16
DS;DIGI;PROMO;2013-06-30;26
DS;DIGI;PROMO;2013-10-31;14
DS;DIGI;PROMO;2013-11-30;259
