Date;included;brand;packagetype;prijstype;KanaalType;Actie_Type;clusters;inflow;month
2021-01-31;0;BVL;DIGI;BASE;korting;klantendienst;groot;315;1
2021-01-31;0;BVL;DIGI;BASE;korting;klantendienst;klein;39;1
2021-01-31;0;BVL;DIGI;BASE;korting;klantendienst;middel;126;1
2021-01-31;0;BVL;DIGI;BASE;overig;mailing;klein;12;1
2021-01-31;0;BVL;DIGI;BASE;overig;mailing;middel;24;1
2021-01-31;0;BVL;DIGI;BASE;tolpoort;project;klein;10;1
2021-01-31;0;BVL;DIGI;BASE;vitrine;project;groot;120;1
2021-01-31;0;BVL;DIGI;BASE;vitrine;project;klein;19;1
2021-01-31;0;BVL;DIGI;BASE;vitrine;project;middel;50;1
2021-01-31;0;BVL;DIGI;FREE;gratis maanden;Gratis maanden;klein;13;1
2021-01-31;0;BVL;DIGI;FREE;korting;klantendienst;groot;76;1
2021-01-31;0;BVL;DIGI;FREE;korting;klantendienst;klein;15;1
2021-01-31;0;BVL;DIGI;FREE;korting;klantendienst;middel;43;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;koppelverkoop;groot;188;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;koppelverkoop;klein;29;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;koppelverkoop;middel;106;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;open comm;groot;60;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;open comm;klein;15;1
2021-01-31;0;BVL;DIGI;PROMO;koppelverkoop;open comm;middel;30;1
2021-01-31;0;BVL;DIGI;PROMO;korting;klantendienst;groot;150;1
2021-01-31;0;BVL;DIGI;PROMO;korting;klantendienst;klein;17;1
2021-01-31;0;BVL;DIGI;PROMO;korting;klantendienst;middel;78;1
2021-01-31;0;BVL;DIGI;PROMO;korting;mailing;groot;20;1
2021-01-31;0;BVL;DIGI;PROMO;korting;mailing;klein;10;1
2021-01-31;0;BVL;DIGI;PROMO;korting;mailing;middel;13;1
2021-01-31;0;BVL;DIGI;PROMO;korting;overig;groot;36;1
2021-01-31;0;BVL;DIGI;PROMO;korting;overig;klein;11;1
2021-01-31;0;BVL;DIGI;PROMO;korting;overig;middel;17;1
2021-01-31;0;BVL;DIGI;PROMO;korting;winback;groot;59;1
2021-01-31;0;BVL;DIGI;PROMO;korting;winback;klein;10;1
2021-01-31;0;BVL;DIGI;PROMO;korting;winback;middel;34;1
2021-01-31;0;BVL;DIGI;PROMO;overig;open comm;groot;25;1
2021-01-31;0;BVL;DIGI;PROMO;overig;open comm;klein;14;1
2021-01-31;0;BVL;DIGI;PROMO;overig;open comm;middel;15;1
2021-01-31;0;BVL;DIGI;PROMO;overig;overig;groot;3916;1
2021-01-31;0;BVL;DIGI;PROMO;overig;overig;klein;107;1
2021-01-31;0;BVL;DIGI;PROMO;overig;overig;middel;1733;1
2021-01-31;0;BVL;DIGI;PROMO;overig;project;groot;35;1
2021-01-31;0;BVL;DIGI;PROMO;overig;project;klein;14;1
2021-01-31;0;BVL;DIGI;PROMO;overig;project;middel;23;1
2021-01-31;0;BVL;DIGI;PROMO;tolpoort;mailing;klein;12;1
2021-01-31;0;BVL;DIGI;PROMO;tolpoort;project;groot;163;1
2021-01-31;0;BVL;DIGI;PROMO;tolpoort;project;klein;51;1
2021-01-31;0;BVL;DIGI;PROMO;tolpoort;project;middel;112;1
2021-01-31;0;BVL;DIGI;PROMO;vitrine;project;groot;159;1
2021-01-31;0;BVL;DIGI;PROMO;vitrine;project;klein;46;1
2021-01-31;0;BVL;DIGI;PROMO;vitrine;project;middel;90;1
2021-01-31;0;BVL;FRACTIONS;BASE;geschenk;geschenkactie;groot;136;1
2021-01-31;0;BVL;FRACTIONS;BASE;geschenk;geschenkactie;klein;12;1
2021-01-31;0;BVL;FRACTIONS;BASE;geschenk;geschenkactie;middel;21;1
2021-01-31;0;BVL;FRACTIONS;BASE;korting;klantendienst;groot;103;1
2021-01-31;0;BVL;FRACTIONS;BASE;korting;klantendienst;klein;31;1
2021-01-31;0;BVL;FRACTIONS;BASE;korting;klantendienst;middel;62;1
2021-01-31;0;BVL;FRACTIONS;BASE;korting;winback;klein;11;1
2021-01-31;0;BVL;FRACTIONS;BASE;vitrine;project;groot;29;1
2021-01-31;0;BVL;FRACTIONS;BASE;vitrine;project;klein;10;1
2021-01-31;0;BVL;FRACTIONS;BASE;vitrine;project;middel;18;1
2021-01-31;0;BVL;FRACTIONS;PROMO;geschenk;geschenkactie;groot;140;1
2021-01-31;0;BVL;FRACTIONS;PROMO;geschenk;geschenkactie;klein;47;1
2021-01-31;0;BVL;FRACTIONS;PROMO;geschenk;geschenkactie;middel;82;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;klantendienst;groot;36;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;klantendienst;klein;10;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;klantendienst;middel;20;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;overig;groot;31;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;overig;klein;10;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;overig;middel;13;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;winback;groot;38;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;winback;klein;14;1
2021-01-31;0;BVL;FRACTIONS;PROMO;korting;winback;middel;24;1
2021-01-31;0;BVL;FRACTIONS;PROMO;vitrine;project;groot;30;1
2021-01-31;0;BVL;FRACTIONS;PROMO;vitrine;project;klein;10;1
2021-01-31;0;BVL;FRACTIONS;PROMO;vitrine;project;middel;12;1
2021-01-31;0;BVL;FULL;BASE;geschenk;geschenkactie;groot;61;1
2021-01-31;0;BVL;FULL;BASE;geschenk;geschenkactie;klein;12;1
2021-01-31;0;BVL;FULL;BASE;geschenk;geschenkactie;middel;22;1
2021-01-31;0;BVL;FULL;BASE;korting;klantendienst;groot;1012;1
2021-01-31;0;BVL;FULL;BASE;korting;klantendienst;klein;239;1
2021-01-31;0;BVL;FULL;BASE;korting;klantendienst;middel;565;1
2021-01-31;0;BVL;FULL;BASE;korting;overig;groot;35;1
2021-01-31;0;BVL;FULL;BASE;korting;overig;klein;10;1
2021-01-31;0;BVL;FULL;BASE;korting;overig;middel;12;1
2021-01-31;0;BVL;FULL;BASE;overig;overig;groot;115;1
2021-01-31;0;BVL;FULL;BASE;overig;overig;klein;30;1
2021-01-31;0;BVL;FULL;BASE;overig;overig;middel;66;1
2021-01-31;0;BVL;FULL;BASE;vitrine;project;groot;294;1
2021-01-31;0;BVL;FULL;BASE;vitrine;project;klein;59;1
2021-01-31;0;BVL;FULL;BASE;vitrine;project;middel;171;1
2021-01-31;0;BVL;FULL;FREE;korting;klantendienst;groot;31;1
2021-01-31;0;BVL;FULL;FREE;korting;klantendienst;klein;13;1
2021-01-31;0;BVL;FULL;FREE;korting;klantendienst;middel;20;1
2021-01-31;0;BVL;FULL;PROMO;geschenk;geschenkactie;groot;542;1
2021-01-31;0;BVL;FULL;PROMO;geschenk;geschenkactie;klein;34;1
2021-01-31;0;BVL;FULL;PROMO;geschenk;geschenkactie;middel;232;1
2021-01-31;0;BVL;FULL;PROMO;gratis maanden;Gratis maanden;groot;103;1
2021-01-31;0;BVL;FULL;PROMO;gratis maanden;Gratis maanden;klein;16;1
2021-01-31;0;BVL;FULL;PROMO;gratis maanden;Gratis maanden;middel;42;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;koppelverkoop;groot;369;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;koppelverkoop;klein;30;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;koppelverkoop;middel;164;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;open comm;groot;233;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;open comm;klein;37;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;open comm;middel;111;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;project;klein;14;1
2021-01-31;0;BVL;FULL;PROMO;koppelverkoop;project;middel;37;1
2021-01-31;0;BVL;FULL;PROMO;korting;dm;groot;458;1
2021-01-31;0;BVL;FULL;PROMO;korting;dm;klein;86;1
2021-01-31;0;BVL;FULL;PROMO;korting;dm;middel;228;1
2021-01-31;0;BVL;FULL;PROMO;korting;klantendienst;groot;686;1
2021-01-31;0;BVL;FULL;PROMO;korting;klantendienst;klein;100;1
2021-01-31;0;BVL;FULL;PROMO;korting;klantendienst;middel;379;1
2021-01-31;0;BVL;FULL;PROMO;korting;mailing;groot;320;1
2021-01-31;0;BVL;FULL;PROMO;korting;mailing;klein;37;1
2021-01-31;0;BVL;FULL;PROMO;korting;mailing;middel;146;1
2021-01-31;0;BVL;FULL;PROMO;korting;open comm;groot;97;1
2021-01-31;0;BVL;FULL;PROMO;korting;open comm;klein;12;1
2021-01-31;0;BVL;FULL;PROMO;korting;open comm;middel;25;1
