Date;brand;packagetype;prijstype;KanaalType;Actie_Type;clusters;inflow;month;active
2021-07-31;DS;DIGI;BASE;korting;klantendienst;groot;46;7;0.0
2021-07-31;DS;DIGI;BASE;korting;klantendienst;klein;8;7;0.0
2021-07-31;DS;DIGI;BASE;korting;klantendienst;middel;30;7;1.0
2021-07-31;DS;DIGI;BASE;korting;project;groot;9;7;0.0
2021-07-31;DS;DIGI;BASE;korting;project;klein;6;7;0.0
2021-07-31;DS;DIGI;BASE;korting;project;middel;8;7;0.0
2021-07-31;DS;DIGI;BASE;vitrine;overig;groot;44;7;0.0
2021-07-31;DS;DIGI;BASE;vitrine;overig;klein;15;7;0.0
2021-07-31;DS;DIGI;BASE;vitrine;overig;middel;35;7;0.0
2021-07-31;DS;DIGI;BASE;vitrine;project;groot;45;7;0.0
2021-07-31;DS;DIGI;BASE;vitrine;project;klein;19;7;1.0
2021-07-31;DS;DIGI;BASE;vitrine;project;middel;31;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;groot;263;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;klein;27;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;koppelverkoop;middel;110;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;open comm;groot;44;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;open comm;klein;10;7;0.0
2021-07-31;DS;DIGI;PROMO;koppelverkoop;open comm;middel;22;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;content;groot;154;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;content;klein;37;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;content;middel;88;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;klantendienst;groot;17;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;klantendienst;klein;7;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;klantendienst;middel;11;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;mailing;groot;31;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;mailing;klein;7;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;mailing;middel;12;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;open comm;groot;15;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;open comm;klein;7;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;open comm;middel;14;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;overig;groot;90;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;overig;klein;7;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;overig;middel;20;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;project;groot;70;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;project;klein;10;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;project;middel;28;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;winback;groot;17;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;winback;klein;6;7;0.0
2021-07-31;DS;DIGI;PROMO;korting;winback;middel;10;7;0.0
2021-07-31;DS;DIGI;PROMO;overig;overig;klein;6;7;0.0
2021-07-31;DS;DIGI;PROMO;overig;overig;middel;27;7;0.0
2021-07-31;DS;DIGI;PROMO;overig;project;klein;10;7;0.0
2021-07-31;DS;DIGI;PROMO;tolpoort;overig;klein;6;7;0.0
2021-07-31;DS;DIGI;PROMO;tolpoort;overig;middel;16;7;0.0
2021-07-31;DS;DIGI;PROMO;tolpoort;tolpoort;groot;140;7;0.0
2021-07-31;DS;DIGI;PROMO;tolpoort;tolpoort;klein;12;7;0.0
2021-07-31;DS;DIGI;PROMO;tolpoort;tolpoort;middel;83;7;0.0
2021-07-31;DS;DIGI;PROMO;vitrine;overig;groot;26;7;0.0
2021-07-31;DS;DIGI;PROMO;vitrine;overig;klein;12;7;0.0
2021-07-31;DS;DIGI;PROMO;vitrine;overig;middel;18;7;0.0
2021-07-31;DS;DIGI;PROMO;vitrine;project;groot;153;7;0.0
2021-07-31;DS;DIGI;PROMO;vitrine;project;klein;33;7;1.0
2021-07-31;DS;DIGI;PROMO;vitrine;project;middel;85;7;0.0
2021-07-31;DS;DIGI;STUDENTS;korting;student;groot;74;7;0.0
2021-07-31;DS;DIGI;STUDENTS;korting;student;klein;10;7;0.0
2021-07-31;DS;DIGI;STUDENTS;korting;student;middel;23;7;0.0
2021-07-31;DS;DIGI;STUDENTS;overig;student;groot;24;7;0.0
2021-07-31;DS;DIGI;STUDENTS;overig;student;klein;6;7;0.0
2021-07-31;DS;DIGI;STUDENTS;overig;student;middel;16;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;klantendienst;klein;17;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;mailing;klein;15;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;open comm;groot;147;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;open comm;klein;15;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;open comm;middel;50;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;overig;groot;35;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;overig;klein;10;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;overig;middel;15;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;project;groot;153;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;project;klein;20;7;0.0
2021-07-31;DS;DIGI;STUNT;korting;project;middel;72;7;0.0
2021-07-31;DS;DIGI;STUNT;tolpoort;project;groot;988;7;0.0
2021-07-31;DS;DIGI;STUNT;tolpoort;project;klein;65;7;1.0
2021-07-31;DS;DIGI;STUNT;tolpoort;project;middel;205;7;0.0
2021-07-31;DS;DIGI;STUNT;tolpoort;tolpoort;groot;125;7;0.0
2021-07-31;DS;DIGI;STUNT;tolpoort;tolpoort;klein;15;7;0.0
2021-07-31;DS;DIGI;STUNT;tolpoort;tolpoort;middel;65;7;0.0
2021-07-31;DS;DIGI;STUNT;vitrine;overig;groot;80;7;0.0
2021-07-31;DS;DIGI;STUNT;vitrine;overig;klein;45;7;0.0
2021-07-31;DS;DIGI;STUNT;vitrine;overig;middel;59;7;0.0
2021-07-31;DS;DIGI;STUNT;vitrine;project;groot;138;7;0.0
2021-07-31;DS;DIGI;STUNT;vitrine;project;klein;24;7;1.0
2021-07-31;DS;DIGI;STUNT;vitrine;project;middel;50;7;0.0
2021-07-31;DS;FULL;BASE;gratis maanden;Gratis maanden;klein;7;7;0.0
2021-07-31;DS;FULL;BASE;gratis maanden;mailing;klein;6;7;0.0
2021-07-31;DS;FULL;BASE;korting;klantendienst;groot;75;7;0.0
2021-07-31;DS;FULL;BASE;korting;klantendienst;klein;15;7;0.0
2021-07-31;DS;FULL;BASE;korting;klantendienst;middel;55;7;1.0
2021-07-31;DS;FULL;BASE;korting;mailing;groot;125;7;0.0
2021-07-31;DS;FULL;BASE;korting;mailing;klein;6;7;0.0
2021-07-31;DS;FULL;BASE;korting;mailing;middel;113;7;0.0
2021-07-31;DS;FULL;BASE;korting;overig;klein;23;7;0.0
2021-07-31;DS;FULL;BASE;korting;overig;middel;25;7;0.0
2021-07-31;DS;FULL;BASE;korting;project;groot;82;7;0.0
2021-07-31;DS;FULL;BASE;korting;project;klein;17;7;0.0
2021-07-31;DS;FULL;BASE;korting;project;middel;58;7;0.0
2021-07-31;DS;FULL;BASE;vitrine;overig;groot;151;7;0.0
2021-07-31;DS;FULL;BASE;vitrine;overig;klein;7;7;0.0
2021-07-31;DS;FULL;BASE;vitrine;overig;middel;142;7;0.0
2021-07-31;DS;FULL;BASE;vitrine;project;groot;57;7;0.0
2021-07-31;DS;FULL;BASE;vitrine;project;klein;16;7;1.0
2021-07-31;DS;FULL;BASE;vitrine;project;middel;32;7;0.0
2021-07-31;DS;FULL;PROMO;geschenk;geschenkactie;groot;112;7;0.0
2021-07-31;DS;FULL;PROMO;geschenk;geschenkactie;klein;13;7;1.0
2021-07-31;DS;FULL;PROMO;geschenk;geschenkactie;middel;41;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;Gratis maanden;groot;42;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;Gratis maanden;klein;13;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;Gratis maanden;middel;26;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;mailing;groot;20;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;mailing;klein;7;7;0.0
2021-07-31;DS;FULL;PROMO;gratis maanden;mailing;middel;12;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;koppelverkoop;groot;245;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;koppelverkoop;klein;20;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;koppelverkoop;middel;91;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;open comm;groot;87;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;open comm;klein;16;7;0.0
2021-07-31;DS;FULL;PROMO;koppelverkoop;open comm;middel;57;7;0.0
2021-07-31;DS;FULL;PROMO;korting;content;groot;347;7;0.0
2021-07-31;DS;FULL;PROMO;korting;content;klein;66;7;0.0
2021-07-31;DS;FULL;PROMO;korting;content;middel;141;7;0.0
2021-07-31;DS;FULL;PROMO;korting;klantendienst;groot;36;7;0.0
2021-07-31;DS;FULL;PROMO;korting;klantendienst;klein;12;7;0.0
2021-07-31;DS;FULL;PROMO;korting;klantendienst;middel;22;7;1.0
2021-07-31;DS;FULL;PROMO;korting;mailing;groot;218;7;0.0
2021-07-31;DS;FULL;PROMO;korting;mailing;klein;26;7;0.0
2021-07-31;DS;FULL;PROMO;korting;mailing;middel;101;7;0.0
2021-07-31;DS;FULL;PROMO;korting;open comm;groot;149;7;0.0
2021-07-31;DS;FULL;PROMO;korting;open comm;klein;15;7;0.0
2021-07-31;DS;FULL;PROMO;korting;open comm;middel;63;7;0.0
2021-07-31;DS;FULL;PROMO;korting;overig;groot;183;7;0.0
2021-07-31;DS;FULL;PROMO;korting;overig;klein;18;7;1.0
2021-07-31;DS;FULL;PROMO;korting;overig;middel;100;7;0.0
2021-07-31;DS;FULL;PROMO;korting;project;groot;208;7;0.0
2021-07-31;DS;FULL;PROMO;korting;project;klein;25;7;0.0
2021-07-31;DS;FULL;PROMO;korting;project;middel;93;7;0.0
2021-07-31;DS;FULL;PROMO;korting;winback;groot;222;7;0.0
2021-07-31;DS;FULL;PROMO;korting;winback;klein;46;7;0.0
2021-07-31;DS;FULL;PROMO;korting;winback;middel;133;7;0.0
2021-07-31;DS;FULL;PROMO;overig;mailing;klein;21;7;0.0
2021-07-31;DS;FULL;PROMO;overig;mailing;middel;43;7;0.0
2021-07-31;DS;FULL;PROMO;overig;overig;groot;76;7;0.0
2021-07-31;DS;FULL;PROMO;overig;overig;klein;21;7;0.0
2021-07-31;DS;FULL;PROMO;overig;overig;middel;35;7;0.0
2021-07-31;DS;FULL;PROMO;stunt;open comm;klein;24;7;0.0
2021-07-31;DS;FULL;PROMO;stunt;open comm;middel;31;7;0.0
2021-07-31;DS;FULL;PROMO;stunt;project;groot;17;7;0.0
2021-07-31;DS;FULL;PROMO;stunt;project;middel;14;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;overig;groot;16;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;overig;klein;8;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;overig;middel;12;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;project;groot;7;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;project;middel;6;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;tolpoort;groot;17;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;tolpoort;klein;6;7;0.0
2021-07-31;DS;FULL;PROMO;tolpoort;tolpoort;middel;10;7;0.0
2021-07-31;DS;FULL;PROMO;vitrine;geschenkactie;groot;15;7;0.0
2021-07-31;DS;FULL;PROMO;vitrine;geschenkactie;klein;6;7;0.0
2021-07-31;DS;FULL;PROMO;vitrine;geschenkactie;middel;8;7;0.0
2021-07-31;DS;FULL;PROMO;vitrine;project;groot;117;7;0.0
2021-07-31;DS;FULL;PROMO;vitrine;project;klein;28;7;1.0
2021-07-31;DS;FULL;PROMO;vitrine;project;middel;63;7;0.0
2021-07-31;DS;FULL;STUDENTS;korting;student;groot;439;7;0.0
2021-07-31;DS;FULL;STUDENTS;korting;student;klein;58;7;0.0
2021-07-31;DS;FULL;STUDENTS;korting;student;middel;166;7;0.0
2021-07-31;DS;FULL;STUDENTS;overig;student;groot;85;7;0.0
2021-07-31;DS;FULL;STUDENTS;overig;student;klein;29;7;1.0
2021-07-31;DS;FULL;STUDENTS;overig;student;middel;55;7;0.0
2021-07-31;DS;FULL;STUNT;korting;open comm;groot;356;7;0.0
2021-07-31;DS;FULL;STUNT;korting;open comm;klein;17;7;0.0
2021-07-31;DS;FULL;STUNT;korting;open comm;middel;119;7;0.0
2021-07-31;DS;FULL;STUNT;korting;overig;groot;18;7;0.0
