Date;brand;packagetype;prijstype;KanaalType;Actie_Type;clusters;inflow;month;active
31/01/2021;BVL;Digi;BASE;korting;klantendienst;groot;315;1;0.0
31/01/2021;BVL;Digi;BASE;korting;klantendienst;klein;39;1;1.0
31/01/2021;BVL;Digi;BASE;korting;klantendienst;middel;126;1;0.0
31/01/2021;BVL;Digi;BASE;overig;mailing;klein;12;1;0.0
31/01/2021;BVL;Digi;BASE;overig;mailing;middel;24;1;0.0
31/01/2021;BVL;Digi;BASE;tolpoort;project;klein;10;1;0.0
31/01/2021;BVL;Digi;BASE;vitrine;project;groot;120;1;0.0
31/01/2021;BVL;Digi;BASE;vitrine;project;klein;19;1;1.0
31/01/2021;BVL;Digi;BASE;vitrine;project;middel;50;1;0.0
31/01/2021;BVL;Digi;FREE;gratis maanden;Gratis maanden;klein;13;1;0.0
31/01/2021;BVL;Digi;FREE;korting;klantendienst;groot;76;1;0.0
31/01/2021;BVL;Digi;FREE;korting;klantendienst;klein;15;1;0.0
31/01/2021;BVL;Digi;FREE;korting;klantendienst;middel;43;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;koppelverkoop;groot;188;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;koppelverkoop;klein;29;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;koppelverkoop;middel;106;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;open comm;groot;60;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;open comm;klein;15;1;0.0
31/01/2021;BVL;Digi;PROMO;koppelverkoop;open comm;middel;30;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;klantendienst;groot;150;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;klantendienst;klein;17;1;1.0
31/01/2021;BVL;Digi;PROMO;korting;klantendienst;middel;78;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;mailing;groot;20;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;mailing;klein;10;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;mailing;middel;13;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;overig;groot;36;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;overig;klein;11;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;overig;middel;17;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;winback;groot;59;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;winback;klein;10;1;0.0
31/01/2021;BVL;Digi;PROMO;korting;winback;middel;34;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;open comm;groot;25;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;open comm;klein;14;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;open comm;middel;15;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;overig;groot;3916;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;overig;klein;107;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;overig;middel;1733;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;project;groot;35;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;project;klein;14;1;0.0
31/01/2021;BVL;Digi;PROMO;overig;project;middel;23;1;0.0
31/01/2021;BVL;Digi;PROMO;tolpoort;mailing;klein;12;1;0.0
31/01/2021;BVL;Digi;PROMO;tolpoort;project;groot;163;1;0.0
31/01/2021;BVL;Digi;PROMO;tolpoort;project;klein;51;1;0.0
31/01/2021;BVL;Digi;PROMO;tolpoort;project;middel;112;1;0.0
31/01/2021;BVL;Digi;PROMO;vitrine;project;groot;159;1;0.0
31/01/2021;BVL;Digi;PROMO;vitrine;project;klein;46;1;1.0
31/01/2021;BVL;Digi;PROMO;vitrine;project;middel;90;1;0.0
31/01/2021;BVL;Fractions;BASE;geschenk;geschenkactie;groot;136;1;0.0
31/01/2021;BVL;Fractions;BASE;geschenk;geschenkactie;klein;12;1;0.0
31/01/2021;BVL;Fractions;BASE;geschenk;geschenkactie;middel;21;1;0.0
31/01/2021;BVL;Fractions;BASE;korting;klantendienst;groot;103;1;0.0
31/01/2021;BVL;Fractions;BASE;korting;klantendienst;klein;31;1;1.0
31/01/2021;BVL;Fractions;BASE;korting;klantendienst;middel;62;1;0.0
31/01/2021;BVL;Fractions;BASE;korting;winback;klein;11;1;0.0
31/01/2021;BVL;Fractions;BASE;vitrine;project;groot;29;1;0.0
31/01/2021;BVL;Fractions;BASE;vitrine;project;klein;10;1;0.0
31/01/2021;BVL;Fractions;BASE;vitrine;project;middel;18;1;1.0
31/01/2021;BVL;Fractions;PROMO;geschenk;geschenkactie;groot;140;1;0.0
31/01/2021;BVL;Fractions;PROMO;geschenk;geschenkactie;klein;47;1;0.0
31/01/2021;BVL;Fractions;PROMO;geschenk;geschenkactie;middel;82;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;klantendienst;groot;36;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;klantendienst;klein;10;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;klantendienst;middel;20;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;overig;groot;31;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;overig;klein;10;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;overig;middel;13;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;winback;groot;38;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;winback;klein;14;1;0.0
31/01/2021;BVL;Fractions;PROMO;korting;winback;middel;24;1;0.0
31/01/2021;BVL;Fractions;PROMO;vitrine;project;groot;30;1;0.0
31/01/2021;BVL;Fractions;PROMO;vitrine;project;klein;10;1;1.0
31/01/2021;BVL;Fractions;PROMO;vitrine;project;middel;12;1;0.0
31/01/2021;BVL;Full;BASE;geschenk;geschenkactie;groot;61;1;0.0
31/01/2021;BVL;Full;BASE;geschenk;geschenkactie;klein;12;1;0.0
31/01/2021;BVL;Full;BASE;geschenk;geschenkactie;middel;22;1;0.0
31/01/2021;BVL;Full;BASE;korting;klantendienst;groot;1012;1;0.0
31/01/2021;BVL;Full;BASE;korting;klantendienst;klein;239;1;1.0
31/01/2021;BVL;Full;BASE;korting;klantendienst;middel;565;1;1.0
31/01/2021;BVL;Full;BASE;korting;overig;groot;35;1;0.0
31/01/2021;BVL;Full;BASE;korting;overig;klein;10;1;0.0
31/01/2021;BVL;Full;BASE;korting;overig;middel;12;1;0.0
31/01/2021;BVL;Full;BASE;overig;overig;groot;115;1;0.0
31/01/2021;BVL;Full;BASE;overig;overig;klein;30;1;0.0
31/01/2021;BVL;Full;BASE;overig;overig;middel;66;1;0.0
31/01/2021;BVL;Full;BASE;vitrine;project;groot;294;1;0.0
31/01/2021;BVL;Full;BASE;vitrine;project;klein;59;1;1.0
31/01/2021;BVL;Full;BASE;vitrine;project;middel;171;1;0.0
31/01/2021;BVL;Full;FREE;korting;klantendienst;groot;31;1;0.0
31/01/2021;BVL;Full;FREE;korting;klantendienst;klein;13;1;1.0
31/01/2021;BVL;Full;FREE;korting;klantendienst;middel;20;1;0.0
31/01/2021;BVL;Full;PROMO;geschenk;geschenkactie;groot;542;1;1.0
31/01/2021;BVL;Full;PROMO;geschenk;geschenkactie;klein;34;1;0.0
31/01/2021;BVL;Full;PROMO;geschenk;geschenkactie;middel;232;1;1.0
31/01/2021;BVL;Full;PROMO;gratis maanden;Gratis maanden;groot;103;1;0.0
31/01/2021;BVL;Full;PROMO;gratis maanden;Gratis maanden;klein;16;1;0.0
31/01/2021;BVL;Full;PROMO;gratis maanden;Gratis maanden;middel;42;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;koppelverkoop;groot;369;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;koppelverkoop;klein;30;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;koppelverkoop;middel;164;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;open comm;groot;233;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;open comm;klein;37;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;open comm;middel;111;1;1.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;project;klein;14;1;0.0
31/01/2021;BVL;Full;PROMO;koppelverkoop;project;middel;37;1;0.0
31/01/2021;BVL;Full;PROMO;korting;dm;groot;458;1;0.0
31/01/2021;BVL;Full;PROMO;korting;dm;klein;86;1;0.0
31/01/2021;BVL;Full;PROMO;korting;dm;middel;228;1;0.0
31/01/2021;BVL;Full;PROMO;korting;klantendienst;groot;686;1;0.0
31/01/2021;BVL;Full;PROMO;korting;klantendienst;klein;100;1;1.0
31/01/2021;BVL;Full;PROMO;korting;klantendienst;middel;379;1;0.0
31/01/2021;BVL;Full;PROMO;korting;mailing;groot;320;1;0.0
31/01/2021;BVL;Full;PROMO;korting;mailing;klein;37;1;0.0
31/01/2021;BVL;Full;PROMO;korting;mailing;middel;146;1;0.0
31/01/2021;BVL;Full;PROMO;korting;open comm;groot;97;1;0.0
31/01/2021;BVL;Full;PROMO;korting;open comm;klein;12;1;0.0
31/01/2021;BVL;Full;PROMO;korting;open comm;middel;25;1;0.0
31/01/2021;BVL;Full;PROMO;korting;overig;groot;172;1;0.0
31/01/2021;BVL;Full;PROMO;korting;overig;klein;33;1;1.0
31/01/2021;BVL;Full;PROMO;korting;overig;middel;67;1;1.0
