brand;print;subscr_type;pricecat;Date;forecast;currentcheck;newcheck;inflow_transformers;inflow_switchers;churncheck;trans_outflow;switcher_outflow;nettosaldo;churnpercentage
DS;Digi;DIGI;BASE;2015-01-31;0;4334.0;68;173;37;218;10;12;0.0;0.0
DS;Digi;DIGI;BASE;2015-02-28;0;4408.0;41;176;33;160;9;6;0.0;0.036917
DS;Digi;DIGI;BASE;2015-03-31;0;4449.0;51;109;37;138;6;12;0.0;0.031307
DS;Digi;DIGI;BASE;2015-04-30;0;4535.0;54;133;42;120;7;14;0.0;0.026972
DS;Digi;DIGI;BASE;2015-05-31;0;4466.0;35;147;32;160;8;13;0.0;0.035281
DS;Digi;DIGI;BASE;2015-06-30;0;4701.0;36;204;34;121;2;18;0.0;0.027094
DS;Digi;DIGI;BASE;2015-07-31;0;4723.0;41;109;19;133;12;11;0.0;0.028292
DS;Digi;DIGI;BASE;2015-08-31;0;4754.0;33;145;35;134;47;10;0.0;0.028372
DS;Digi;DIGI;BASE;2015-09-30;0;4751.0;55;133;25;152;51;13;0.0;0.031973
DS;Digi;DIGI;BASE;2015-10-31;0;4869.0;37;249;30;136;47;17;0.0;0.028626
DS;Digi;DIGI;BASE;2015-11-30;0;5021.0;37;259;53;163;21;11;0.0;0.033477
DS;Digi;DIGI;BASE;2015-12-31;0;5072.0;31;308;28;202;38;85;0.0;0.040231
DS;Digi;DIGI;BASE;2016-01-31;0;4433.0;92;116;50;281;26;462;0.0;0.055402
DS;Digi;DIGI;BASE;2016-02-29;0;4562.0;29;250;177;214;22;199;0.0;0.048274
DS;Digi;DIGI;BASE;2016-03-31;0;4640.0;44;188;54;147;16;47;0.0;0.032223
DS;Digi;DIGI;BASE;2016-04-30;0;4656.0;29;190;32;189;30;16;0.0;0.040733
DS;Digi;DIGI;BASE;2016-05-31;0;4754.0;36;193;36;139;14;13;0.0;0.029854
DS;Digi;DIGI;BASE;2016-06-30;0;4867.0;46;229;42;151;34;9;0.0;0.031763
DS;Digi;DIGI;BASE;2016-07-31;0;4912.0;54;242;36;150;21;13;0.0;0.03082
DS;Digi;DIGI;BASE;2016-08-31;0;5112.0;45;224;37;180;18;10;0.0;0.036645
DS;Digi;DIGI;BASE;2016-09-30;0;5178.0;63;164;30;162;16;19;0.0;0.03169
DS;Digi;DIGI;BASE;2016-10-31;0;5182.0;54;113;42;168;18;14;0.0;0.032445
DS;Digi;DIGI;BASE;2016-11-30;0;5166.0;50;109;34;173;16;23;0.0;0.033385
DS;Digi;DIGI;BASE;2016-12-31;0;5122.0;26;111;38;162;26;25;0.0;0.031359
DS;Digi;DIGI;BASE;2017-01-31;0;5085.0;33;108;45;190;22;17;0.0;0.037095
DS;Digi;DIGI;BASE;2017-02-28;0;5048.0;32;94;41;177;16;12;0.0;0.034808
DS;Digi;DIGI;BASE;2017-03-31;0;5099.0;46;100;46;125;19;12;0.0;0.024762
DS;Digi;DIGI;BASE;2017-04-30;0;4937.0;39;72;47;126;8;8;0.0;0.024711
DS;Digi;DIGI;BASE;2017-05-31;0;5140.0;33;91;42;113;9;13;0.0;0.022888
DS;Digi;DIGI;BASE;2017-06-30;0;5134.0;41;81;44;151;11;9;0.0;0.029377
DS;Digi;DIGI;BASE;2017-07-31;0;5167.0;30;100;40;113;18;5;0.0;0.02201
DS;Digi;DIGI;BASE;2017-08-31;0;5235.0;46;103;37;105;10;10;0.0;0.020321
DS;Digi;DIGI;BASE;2017-09-30;0;5257.0;39;124;45;158;15;12;0.0;0.030181
DS;Digi;DIGI;BASE;2017-10-31;0;5304.0;29;129;44;145;7;13;0.0;0.027582
DS;Digi;DIGI;BASE;2017-11-30;0;5465.0;44;226;38;124;8;13;0.0;0.023379
DS;Digi;DIGI;BASE;2017-12-31;0;5462.0;28;156;51;144;10;14;0.0;0.026349
DS;Digi;DIGI;BASE;2018-01-31;0;5598.0;57;115;51;138;12;8;0.0;0.025265
DS;Digi;DIGI;BASE;2018-02-28;0;5686.0;47;136;65;131;12;13;0.0;0.023401
DS;Digi;DIGI;BASE;2018-03-31;0;5789.0;40;167;58;143;13;8;0.0;0.025149
DS;Digi;DIGI;BASE;2018-04-30;0;5844.0;31;150;61;165;12;18;0.0;0.028502
DS;Digi;DIGI;BASE;2018-05-31;0;5956.0;28;167;66;135;9;9;0.0;0.023101
DS;Digi;DIGI;BASE;2018-06-30;0;6061.0;55;162;47;136;12;9;0.0;0.022834
DS;Digi;DIGI;BASE;2018-07-31;0;6211.0;43;174;68;123;13;9;0.0;0.020294
DS;Digi;DIGI;BASE;2018-08-31;0;6319.0;35;171;53;139;8;10;0.0;0.02238
DS;Digi;DIGI;BASE;2018-09-30;0;5989.0;49;190;49;161;15;17;0.0;0.025479
DS;Digi;DIGI;BASE;2018-10-31;0;6540.0;59;181;63;140;7;24;0.0;0.023376
DS;Digi;DIGI;BASE;2018-11-30;0;6606.0;43;151;43;148;16;11;0.0;0.02263
DS;Digi;DIGI;BASE;2018-12-31;0;6720.0;31;202;56;148;11;14;0.0;0.022404
DS;Digi;DIGI;BASE;2019-01-31;0;6802.0;53;200;38;173;18;17;0.0;0.025744
DS;Digi;DIGI;BASE;2019-02-28;0;6846.0;38;137;77;173;18;25;0.0;0.025434
DS;Digi;DIGI;BASE;2019-03-31;0;6654.0;62;172;94;141;21;25;0.0;0.020596
DS;Digi;DIGI;BASE;2019-04-30;0;7044.0;51;140;90;169;27;29;0.0;0.025398
