brand,PrintvsDigi,sub_type,pricecat,flow_type,flow_direction,exog,exog_pricecat,exog_flow,exog_lag,model,comment
DS,Digi,DIGI,BASE,Regular,Inflow,campaigns,BASE,,,statsmodels,
DS,Digi,DIGI,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,Lag could be 1 or 2
DS,Digi,DIGI,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,DIGI,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,DIGI,BASE,Switchers,Inflow,,,,,statsmodels,
DS,Digi,DIGI,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,DIGI,PROMO,Regular,Inflow,campaigns,PROMO,,,pm,
DS,Digi,DIGI,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,pm,Lag could be 1 or 2
DS,Digi,DIGI,PROMO,Transformers,Inflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,DIGI,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,DIGI,PROMO,Switchers,Inflow,,,,,statsmodels,
DS,Digi,DIGI,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,Lag could be 1 or 2
DS,Digi,DIGI,STUDENTS,Regular,Inflow,,,,,statsmodels,
DS,Digi,DIGI,STUDENTS,Regular,Outflow,other_flow,STUDENTS,newcheck,9,GLS,
DS,Digi,DIGI,STUDENTS,Transformers,Inflow,,,,,Excluded,
DS,Digi,DIGI,STUDENTS,Transformers,Outflow,,,,,Excluded,
DS,Digi,DIGI,STUDENTS,Switchers,Inflow,,,,,Excluded,
DS,Digi,DIGI,STUDENTS,Switchers,Outflow,,,,,Excluded,
DS,Digi,DIGI,STUNT,Regular,Inflow,campaigns,STUNT,inflow,,statsmodels,
DS,Digi,DIGI,STUNT,Regular,Outflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,DIGI,STUNT,Transformers,Inflow,,,,,statsmodels,
DS,Digi,DIGI,STUNT,Transformers,Outflow,other_flow,STUNT,newcheck,2,GLS,
DS,Digi,DIGI,STUNT,Switchers,Inflow,,,,,statsmodels,
